,Conc,E2F-1,FOXO1a,Cyclin-E1,Cyclin-D1
0,0.01,3.2851300051194112,3.284326039335582,2.4405107962145562,2.9451360896592282
1,0.01,2.9662497060519204,3.024952550035608,2.1995851549749865,2.461774562691992
2,0.01,2.794753561301577,3.2467501229924283,2.230264945929563,2.6022163092059176
3,0.01,2.7763618950965703,3.1851728617438213,2.262320544448026,2.6414384136002145
4,0.01,2.849016875271611,3.2697699424765116,2.224292152706485,2.6024604433074283
5,0.01,2.812186474685355,3.2448990403145808,2.1620952107034688,2.6600359234013524
6,0.01,2.916646048465373,3.2496998919025124,2.1845352838188767,2.584433000210336
7,0.01,2.975851653290542,3.2156703391402885,2.2802003606020493,2.5808269348846578
8,0.01,2.9566744921360106,3.097996820277639,2.280623891512912,2.4620744028620765
9,0.01,3.4615280890155993,3.324905663044726,2.4373493684305134,3.099225394537666
10,0.01,3.261824589514186,3.1611666825518863,2.3677099224251497,2.8896753151998085
11,0.01,3.2865462835166968,3.491421370201536,2.3787920396301225,2.867155060615422
12,0.01,2.978937474699153,3.20205707801561,2.5163409885769976,3.113489110066595
13,0.01,3.1328495577387443,3.1991257620671822,2.635999165542835,2.9424108914134024
14,0.01,3.470339327891578,3.5150888889677594,2.5711717444620183,3.413432379713828
15,0.01,2.890247154423068,3.165129429202528,2.0946422970749685,2.5884409086303597
16,0.01,3.5458021279284537,3.585963317754526,2.7831049722085464,3.252009341039082
17,0.01,3.0745879006820505,3.276988153315174,2.109305128663246,2.940877914534762
18,0.01,2.984117127704431,3.0704767442206116,2.3894992111101936,2.387566000247293
19,0.01,3.1207683331735083,3.3432775963483885,2.1573026070352856,2.7523373689062596
20,0.01,3.016008616157242,3.307964096249694,2.241319811375219,2.949362191388495
21,0.01,3.2467528296014194,3.277692627502348,2.2300399811579426,2.8573524011388765
22,0.01,2.9579212828725674,3.3451248467534933,2.289936605652721,2.6353952704086585
23,0.01,2.9222925043856627,3.3541803031730777,2.175184084421731,2.5507162014797133
24,0.01,2.911581039202375,3.2665282613588733,2.192294191138353,2.5289321187429583
25,0.01,2.9439261226459257,3.3610223845469025,2.2142502598710725,2.588445389900794
26,0.01,3.131560604854498,3.18240095567775,2.1797212248719533,2.70862057869208
27,0.01,3.2492719977046334,3.3490120117507325,2.5339651481667933,2.961755111286415
28,0.01,3.2386569491015136,3.307211406897828,2.468014834939566,2.6784500883753135
29,0.01,2.881509049200175,3.13327665584438,2.2093434075140608,2.5313396650182307
30,0.01,2.9899359019630096,3.3576753356718716,2.234638747499467,2.8058099875334803
31,0.01,3.0605739543463635,3.3477038356130664,2.155390700463087,2.6870890934008815
32,0.01,2.925709582991279,3.2190959976809483,2.158630827298045,2.6148371274456763
33,0.01,3.007512649274475,3.0886278923687587,2.2039733835282878,2.695011227951851
34,0.01,2.9138329185522043,3.2927592068724447,2.1437172265617965,2.348339916793429
35,0.01,2.847725005624129,3.1179775271036534,2.3749223954151093,2.412955881373069
36,0.01,2.9292605070722075,3.270816670748675,2.1746992883707756,2.627258293932656
37,0.01,3.4907895895065857,3.3591922883834022,2.6326587014230194,3.218027393385844
