,Conc,E2F-1,FOXO1a,Cyclin-E1,Cyclin-D1
135,0.1,3.740108118331211,3.686043490798978,2.4639914775969185,3.0777384420412
136,0.1,3.121852885868486,3.403740107326849,2.3319877718696844,2.7709874315178884
137,0.1,3.1076989541410276,3.2940171496114052,2.271286190667417,2.8339460905828067
138,0.1,3.174091222398618,3.378043597491697,2.24632374454116,2.775107788084082
139,0.1,3.0997607261889146,3.4092263553031925,2.2351267913310204,2.756384281354625
140,0.1,3.1815652074111034,3.4628171144095043,2.378152518856473,2.8872869534056935
141,0.1,3.1660267165423677,3.5708382064327986,2.201866673232134,2.9361562071804306
142,0.1,3.29044910904936,3.664841404411705,2.2081725266671217,2.628801569181568
143,0.1,3.2836643460969364,3.4972010664485618,2.3109183650979617,2.8357279762676186
144,0.1,3.2523922889418158,3.529197615923743,2.4090467318056326,2.8726200497378303
145,0.1,3.379189811365851,3.5004335372137296,2.368357556626268,2.827367334234846
146,0.1,3.142646587442819,3.184955333540365,2.1451404447373927,2.870952572332072
147,0.1,3.1532702072040597,3.1020997949394054,2.215859544044243,2.7585538680524477
148,0.1,3.1526588657971533,3.1864870552691618,2.2285620339979464,2.95559010724488
149,0.1,3.274842016909493,3.4356250938131896,2.2911956309955688,2.620864475265121
